"Var","Location","Val","Month","Year"
"Temperature","Edmonton, Alberta",-26.1,"Jan",1950
"Temperature","Edmonton, Alberta",-13.7,"Feb",1950
"Temperature","Edmonton, Alberta",-8.7,"Mar",1950
"Temperature","Edmonton, Alberta",2.1,"Apr",1950
"Temperature","Edmonton, Alberta",10.2,"May",1950
"Temperature","Edmonton, Alberta",15.7,"Jun",1950
"Temperature","Edmonton, Alberta",17.5,"Jul",1950
"Temperature","Edmonton, Alberta",14.1,"Aug",1950
"Temperature","Edmonton, Alberta",11.8,"Sep",1950
"Temperature","Edmonton, Alberta",2.3,"Oct",1950
"Temperature","Edmonton, Alberta",-11.2,"Nov",1950
"Temperature","Edmonton, Alberta",-12.3,"Dec",1950
"Temperature","Edmonton, Alberta",-18.9,"Jan",1951
"Temperature","Edmonton, Alberta",-14.5,"Feb",1951
"Temperature","Edmonton, Alberta",-11.8,"Mar",1951
"Temperature","Edmonton, Alberta",3.1,"Apr",1951
"Temperature","Edmonton, Alberta",11.7,"May",1951
"Temperature","Edmonton, Alberta",12.9,"Jun",1951
"Temperature","Edmonton, Alberta",16.6,"Jul",1951
"Temperature","Edmonton, Alberta",13.6,"Aug",1951
"Temperature","Edmonton, Alberta",9,"Sep",1951
"Temperature","Edmonton, Alberta",0.7,"Oct",1951
"Temperature","Edmonton, Alberta",-6.2,"Nov",1951
"Temperature","Edmonton, Alberta",-16.1,"Dec",1951
"Temperature","Edmonton, Alberta",-19.9,"Jan",1952
"Temperature","Edmonton, Alberta",-10.2,"Feb",1952
"Temperature","Edmonton, Alberta",-8.6,"Mar",1952
"Temperature","Edmonton, Alberta",7.4,"Apr",1952
"Temperature","Edmonton, Alberta",12.1,"May",1952
"Temperature","Edmonton, Alberta",14.1,"Jun",1952
"Temperature","Edmonton, Alberta",16,"Jul",1952
"Temperature","Edmonton, Alberta",15.2,"Aug",1952
"Temperature","Edmonton, Alberta",12.3,"Sep",1952
"Temperature","Edmonton, Alberta",7.2,"Oct",1952
"Temperature","Edmonton, Alberta",-1.2,"Nov",1952
"Temperature","Edmonton, Alberta",-7.3,"Dec",1952
"Temperature","Edmonton, Alberta",-17.9,"Jan",1953
"Temperature","Edmonton, Alberta",-6.4,"Feb",1953
"Temperature","Edmonton, Alberta",-5.9,"Mar",1953
"Temperature","Edmonton, Alberta",1.4,"Apr",1953
"Temperature","Edmonton, Alberta",11,"May",1953
